"completions","attempts","passing_yards","passing_tds","interceptions","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_first_downs","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","predicted_passing_yards"
22,35,284,0,1,0,0,261,14,0,7,10,0,0,0,0,255.348661504818
15,27,256,4,0,0,0,351,10,0,5,21,0,0,0,2,237.482901186938
23,28,326,6,0,0,0,302,17,0,5,18,0,1,0,1,346.854173480537
24,38,314,3,0,1,0,384,15,0,5,7,0,0,0,1,301.867233780243
28,45,304,1,0,0,0,357,13,0,3,7,1,1,0,1,277.854146872501
22,38,313,0,2,0,0,356,17,0,4,13,1,0,0,1,290.758402654583
23,36,352,4,2,0,0,319,14,0,2,9,0,0,0,1,295.887605322396
28,39,358,4,1,2,0,336,19,0,4,45,0,0,0,4,368.899053192082
24,34,303,4,1,0,0,245,15,0,2,-1,0,0,0,0,305.223042412859
23,32,375,3,1,0,0,216,15,0,2,18,0,0,0,0,299.086503968303
21,28,249,2,0,0,0,204,12,0,4,21,0,0,0,2,251.949946638349
33,46,478,6,3,2,2,467,21,0,6,28,0,0,0,0,424.168884418006
23,38,295,4,0,0,0,450,14,0,9,52,0,0,0,2,319.256312511483
35,53,377,2,1,1,0,408,18,0,2,-3,0,0,0,0,355.137872332612
24,34,243,2,0,0,0,210,12,0,2,3,0,0,0,2,254.720975790228
23,40,273,3,0,0,0,395,16,0,3,33,0,0,0,1,321.611082438924
14,24,281,2,1,0,0,255,9,0,2,1,0,0,0,0,195.67842669574
27,41,278,0,0,0,0,368,14,0,3,8,1,1,0,1,275.678432215178
16,31,295,3,0,1,0,420,11,0,2,11,0,0,0,1,239.711794702972
25,33,378,3,0,0,0,184,13,0,1,2,0,0,0,0,279.661549896913
30,44,443,4,0,1,1,557,18,0,1,-1,0,0,0,0,365.000887399714
27,37,374,3,0,0,0,326,14,0,4,9,0,0,0,1,302.402521110649
24,42,315,0,0,0,0,502,16,0,6,54,0,0,0,4,303.331738009201
22,39,321,1,0,0,0,463,12,0,3,17,0,0,0,1,255.979711846512
19,35,273,3,1,1,1,350,11,0,1,-1,0,0,0,0,241.200588065878
10,11,76,1,0,0,0,25,3,0,1,2,0,0,0,1,105.268950093251
36,50,446,3,0,0,0,418,20,0,0,0,0,0,0,0,392.741760405369
19,32,182,1,1,0,0,255,9,0,5,59,0,0,0,3,220.701795277166
15,29,175,1,0,0,0,259,10,0,3,25,1,0,0,1,212.827603239111
26,40,283,1,1,0,0,219,13,0,6,6,0,0,0,0,264.969752094087
27,34,340,2,1,0,0,337,17,1,3,11,0,0,0,1,339.574956097281
23,33,251,2,0,0,0,244,15,0,2,14,1,0,0,1,292.619296129513
16,25,174,1,1,0,0,142,5,0,7,21,0,0,0,2,153.201916588107
23,35,321,5,0,0,0,228,16,0,7,53,0,1,0,4,333.402145936
23,35,294,3,0,1,0,299,14,0,8,53,1,0,0,4,302.799863559852
26,42,286,2,2,1,0,348,13,0,9,29,1,1,0,3,280.744070632821
24,32,211,3,0,0,0,147,16,0,0,0,0,0,0,0,303.654686875598
27,47,302,2,0,0,0,339,15,1,6,54,0,0,0,4,333.491863511441
31,42,385,4,0,0,0,346,22,0,4,26,1,0,0,2,413.617170700563
19,29,236,2,0,0,0,235,12,0,8,28,0,0,0,1,251.005308801778
22,43,340,2,1,0,0,440,15,1,6,21,1,0,0,1,315.507765506482
21,26,225,2,0,0,0,161,10,0,10,36,0,1,0,1,234.832885101744
15,23,200,1,0,0,0,164,8,0,0,0,0,0,0,0,177.191945824826
31,42,416,5,0,0,0,395,19,0,0,0,0,0,0,0,384.820919327246
30,45,372,4,0,0,0,407,18,0,1,6,0,0,0,1,363.205238902558
34,45,348,2,1,0,0,352,21,0,4,16,0,0,0,1,386.915531402396
37,49,462,3,0,1,1,485,19,0,4,28,0,0,0,3,391.624308003296
25,40,318,1,0,0,0,378,18,0,4,26,0,0,0,2,323.210329025119
24,34,393,2,3,0,0,318,15,0,5,9,0,1,0,1,284.787948890789
26,47,254,3,0,2,1,422,16,1,7,37,0,0,0,3,342.690510836061
24,44,278,2,1,0,0,328,14,0,3,21,0,0,0,1,286.66440971961
21,30,255,1,0,0,0,182,12,0,3,14,1,0,0,2,242.742952194804
29,38,325,3,0,0,0,208,19,0,5,5,0,0,0,0,353.519634394956
26,49,270,0,2,1,0,382,12,0,5,33,0,0,0,3,254.360077060645
27,36,337,3,0,0,0,335,17,0,5,18,1,0,0,2,338.069303561629
